instrument_token,tradingsymbol,name,lot_size,tick_size
3343617,360ONE,360 ONE WAM,1,0.1
121345,3MINDIA,3M INDIA,1,5.0
6074625,AADHARHFC,AADHAR HOUSING FINANCE L,1,0.05
1793,AARTIIND,AARTI INDUSTRIES,1,0.05
1378561,AAVAS,AAVAS FINANCIERS,1,0.1
3329,ABB,ABB INDIA,1,0.5
4583169,ABBOTINDIA,ABBOTT INDIA,1,5.0
5533185,ABCAPITAL,ADITYA BIRLA CAPITAL,1,0.05
6222849,ABDL,ALLIED BLEND N DISTILS L,1,0.05
7707649,ABFRL,ADITYA BIRLA FASHION & RT,1,0.01
193751809,ABLBL,ADITYA BIRLA LIFES BRAN L,1,0.01
160001,ABREL,ADITYA BIRLA REAL EST,1,0.1
1540609,ABSLAMC,ADIT BIRL SUN LIF AMC,1,0.1
5633,ACC,ACC,1,0.1
3478273,ACE,ACTION CONST EQUIP,1,0.05
6927617,ACMESOLAR,ACME SOLAR HOLDINGS,1,0.05
1427969,ACUTAAS,ACUTAAS CHEMICALS,1,0.1
2615553,ADANIENSOL,ADANI ENERGY SOLUTION,1,0.1
6401,ADANIENT,ADANI ENTERPRISES,1,0.1
912129,ADANIGREEN,ADANI GREEN ENERGY,1,0.1
3861249,ADANIPORTS,ADANI PORT & SEZ,1,0.1
4451329,ADANIPOWER,ADANI POWER,1,0.01
10241,AEGISLOG,AEGIS LOGISTICS,1,0.05
193878017,AEGISVOPAK,AEGIS VOPAK TERMINALS,1,0.01
6650113,AFCONS,AFCONS INFRASTRUCTURE,1,0.05
2903809,AFFLE,AFFLE 3I,1,0.1
3350017,AIAENG,AIA ENGINEERING,1,0.1
6029569,AIIL,AUTHUM INVEST & INFRA,1,0.05
2079745,AJANTPHARM,AJANTA PHARMA,1,0.1
2995969,ALKEM,ALKEM LABORATORIES,1,0.5
303361,AMBER,AMBER ENTERPRISES (I),1,0.5
325121,AMBUJACEM,AMBUJA CEMENTS,1,0.05
1829121,ANANDRATHI,ANAND RATHI WEALTH,1,0.1
3486721,ANANTRAJ,ANANT RAJ,1,0.05
82945,ANGELONE,ANGEL ONE,1,0.05
194018561,ANTHEM,ANTHEM BIOSCIENCES,1,0.05
724225,ANURAS,ANUPAM RASAYAN INDIA,1,0.1
2941697,APARINDS,APAR INDUSTRIES,1,1.0
6599681,APLAPOLLO,APL APOLLO TUBES,1,0.1
40193,APOLLOHOSP,APOLLO HOSPITALS ENTER. L,1,0.5
41729,APOLLOTYRE,APOLLO TYRES,1,0.05
1391361,APTUS,APTUS VALUE HSG FIN I,1,0.05
25601,ARE&M,AMARA RAJA ENERGY MOB,1,0.05
1376769,ASAHIINDIA,ASAHI INDIA GLASS,1,0.05
54273,ASHOKLEY,ASHOK LEYLAND,1,0.01
60417,ASIANPAINT,ASIAN PAINTS,1,0.1
386049,ASTERDM,ASTER DM HEALTHCARE,1,0.05
3691009,ASTRAL,ASTRAL,1,0.1
1552897,ATGL,ADANI TOTAL GAS,1,0.05
193957121,ATHERENERG,ATHER ENERGY,1,0.05
67329,ATUL,ATUL,1,0.5
5436929,AUBANK,AU SMALL FINANCE BANK,1,0.05
70401,AUROPHARMA,AUROBINDO PHARMA,1,0.1
2076161,AWL,AWL AGRI BUSINESS,1,0.01
1510401,AXISBANK,AXIS BANK,1,0.1
4267265,BAJAJ-AUTO,BAJAJ AUTO,1,1.0
4268801,BAJAJFINSV,BAJAJ FINSERV,1,0.1
6469121,BAJAJHFL,BAJAJ HOUSING FINANCE,1,0.01
78081,BAJAJHLDNG,BAJAJ HOLDINGS & INVS,1,1.0
81153,BAJFINANCE,BAJAJ FINANCE,1,0.05
85761,BALKRISIND,BALKRISHNA IND.,1,0.1
87297,BALRAMCHIN,BALRAMPUR CHINI MILLS,1,0.05
579329,BANDHANBNK,BANDHAN BANK,1,0.01
1195009,BANKBARODA,BANK OF BARODA,1,0.05
1214721,BANKINDIA,BANK OF INDIA,1,0.01
94977,BATAINDIA,BATA INDIA,1,0.05
4589313,BAYERCROP,BAYER CROPSCIENCE,1,0.1
97281,BBTC,BOMBAY BURMAH TRADING COR,1,0.1
548865,BDL,BHARAT DYNAMICS,1,0.1
98049,BEL,BHARAT ELECTRONICS,1,0.05
193818113,BELRISE,BELRISE INDUSTRIES,1,0.01
101121,BEML,BEML,1,0.1
103425,BERGEPAINT,BERGER PAINTS (I),1,0.05
108033,BHARATFORG,BHARAT FORGE,1,0.1
2714625,BHARTIARTL,BHARTI AIRTEL,1,0.1
6013185,BHARTIHEXA,BHARTI HEXACOM,1,0.1
112129,BHEL,BHEL,1,0.05
3063297,BIKAJI,BIKAJI FOODS INTERN,1,0.05
2911489,BIOCON,BIOCON,1,0.05
4423425,BLS,BLS INTL SERVS,1,0.05
126721,BLUEDART,BLUE DART EXPRESS,1,0.1
5039617,BLUEJET,BLUE JET HEALTHCARE,1,0.05
2127617,BLUESTARCO,BLUE STAR,1,0.1
558337,BOSCHLTD,BOSCH,1,5.0
134657,BPCL,BHARAT PETROLEUM CORP  LT,1,0.05
3887105,BRIGADE,BRIGADE ENTER.,1,0.05
140033,BRITANNIA,BRITANNIA INDUSTRIES,1,0.5
5013761,BSE,BSE,1,0.1
1790465,BSOFT,BIRLASOFT,1,0.05
87553,CAMS,COMPUTER AGE MNGT SER,1,0.05
2763265,CANBK,CANARA BANK,1,0.01
149249,CANFINHOME,CAN FIN HOMES,1,0.05
194426113,CANHLIFE,CANARA HSBC LIFE INS CO L,1,0.01
999937,CAPLIPOINT,CAPLIN POINT LAB,1,0.1
152321,CARBORUNIV,CARBORUNDUM UNIVERSAL,1,0.1
1384193,CARTRADE,CARTRADE TECH,1,0.1
320001,CASTROLIND,CASTROL INDIA,1,0.01
2931713,CCL,CCL PRODUCTS (I),1,0.1
5420545,CDSL,CENTRAL DEPO SER (I),1,0.1
3905025,CEATLTD,CEAT,1,0.1
1439233,CEMPRO,CEMINDIA PROJECTS,1,0.1
3812865,CENTRALBK,CENTRAL BANK OF INDIA,1,0.01
160769,CESC,CESC,1,0.01
5204225,CGCL,CAPRI GLOBAL CAPITAL,1,0.01
194561,CGPOWER,CG POWER AND IND SOL,1,0.05
2187777,CHALET,CHALET HOTELS,1,0.05
163073,CHAMBLFERT,CHAMBAL FERTILIZERS,1,0.05
524545,CHENNPETRO,CHENNAI PETROLEUM CORP LT,1,0.1
2269697,CHOICEIN,CHOICE INTERNATIONAL,1,0.05
175361,CHOLAFIN,CHOLAMANDALAM IN & FIN CO,1,0.1
5565441,CHOLAHLDNG,CHOLAMANDALAM FIN HOL,1,0.1
3823873,CIEINDIA,CIE AUTOMOTIVE INDIA,1,0.05
177665,CIPLA,CIPLA,1,0.1
1292545,CLEAN,CLEAN SCIENCE & TECH,1,0.05
5215745,COALINDIA,COAL INDIA,1,0.05
5506049,COCHINSHIP,COCHIN SHIPYARD,1,0.1
2955009,COFORGE,COFORGE,1,0.1
4593921,COHANCE,COHANCE LIFESCIENCES,1,0.05
3876097,COLPAL,COLGATE PALMOLIVE,1,0.1
1215745,CONCOR,CONTAINER CORP OF IND,1,0.05
4623361,CONCORDBIO,CONCORD BIOTECH,1,0.1
189185,COROMANDEL,COROMANDEL INTERNTL.,1,0.1
194267649,CPPLUS,ADITYA INFOTECH,1,0.1
730625,CRAFTSMAN,CRAFTSMAN AUTOMATION,1,0.5
1131777,CREDITACC,CREDITACCESS GRAMEEN,1,0.1
193793,CRISIL,CRISIL,1,0.1
4376065,CROMPTON,CROMPT GREA CON ELEC,1,0.05
1459457,CUB,CITY UNION BANK,1,0.05
486657,CUMMINSIND,CUMMINS INDIA,1,0.5
1471489,CYIENT,CYIENT,1,0.05
197633,DABUR,DABUR INDIA,1,0.05
2067201,DALBHARAT,DALMIA BHARAT,1,0.1
1883649,DATAPATTNS,DATA PATTERNS INDIA,1,0.1
207617,DCMSHRIRAM,DCM SHRIRAM,1,0.1
211713,DEEPAKFERT,DEEPAK FERTILIZERS & PETR,1,0.1
5105409,DEEPAKNTR,DEEPAK NITRITE,1,0.1
2457345,DELHIVERY,DELHIVERY,1,0.05
1375489,DEVYANI,DEVYANI INTERNATIONAL,1,0.01
2800641,DIVISLAB,DIVI S LABORATORIES,1,0.5
5552641,DIXON,DIXON TECHNO (INDIA),1,1.0
3771393,DLF,DLF,1,0.05
5097729,DMART,AVENUE SUPERMARTS,1,0.1
5261057,DOMS,DOMS INDUSTRIES,1,0.1
225537,DRREDDY,DR. REDDY S LABORATORIES,1,0.1
3885825,ECLERX,ECLERX SERVICES,1,0.1
232961,EICHERMOT,EICHER MOTORS,1,0.5
234497,EIDPARRY,EID PARRY INDIA,1,0.05
235265,EIHOTEL,EIH - OBEROI HOTELS,1,0.05
3492609,ELECON,ELECON ENG. CO.,1,0.05
239873,ELGIEQUIP,ELGI EQUIPMENTS,1,0.05
3460353,EMAMILTD,EMAMI,1,0.05
6245889,EMCURE,EMCURE PHARMACEUTICALS L,1,0.1
194490369,EMMVEE,EMMVEE PHOTOVOLTAIC PWR L,1,0.05
4818433,ENDURANCE,ENDURANCE TECHNO.,1,0.1
1256193,ENGINERSIN,ENGINEERS INDIA,1,0.01
193758977,ENRIN,SIEMENS ENERGY INDIA,1,0.1
5415425,ERIS,ERIS LIFESCIENCES,1,0.1
245249,ESCORTS,ESCORTS KUBOTA,1,0.1
1304833,ETERNAL,ETERNAL - ZOMATO,1,0.05
173057,EXIDEIND,EXIDE INDUSTRIES,1,0.05
258049,FACT,FACT,1,0.05
261889,FEDERALBNK,FEDERAL BANK,1,0.05
265729,FINCABLES,FINOLEX CABLES,1,0.1
6352385,FIRSTCRY,BRAINBEES SOLUTIONS,1,0.01
3080193,FIVESTAR,FIVE-STAR BUS FIN,1,0.05
3520001,FLUOROCHEM,GUJARAT FLUOROCHEM,1,0.1
2962689,FORCEMOT,FORCE MOTORS,1,1.0
3735553,FORTIS,FORTIS HEALTHCARE,1,0.05
3661825,FSL,FIRSTSOURCE SOLU.,1,0.05
277761,GABRIEL,GABRIEL INDIA,1,0.1
1207553,GAIL,GAIL (INDIA),1,0.01
3414273,GALLANTT,GALLANTT ISPAT,1,0.05
3526657,GESHIP,THE GE SHPG.LTD,1,0.1
70913,GICRE,GENERAL INS CORP OF INDIA,1,0.05
403457,GILLETTE,GILLETTE INDIA,1,0.5
303617,GLAND,GLAND PHARMA,1,0.1
295169,GLAXO,GLAXOSMITHKLINE PHARMA LT,1,0.1
1895937,GLENMARK,GLENMARK PHARMACEUTICALS,1,0.1
1332225,GMDCLTD,GUJARAT MINERAL DEV CORP,1,0.05
3463169,GMRAIRPORT,GMR AIRPORTS,1,0.01
302337,GODFRYPHLP,GODFREY PHILLIPS INDIA LT,1,0.1
6092545,GODIGIT,GO DIGIT GENERAL INS,1,0.05
2585345,GODREJCP,GODREJ CONSUMER PRODUCTS,1,0.1
2796801,GODREJIND,GODREJ INDUSTRIES,1,0.1
4576001,GODREJPROP,GODREJ PROPERTIES,1,0.1
3432705,GPIL,GODAWARI POW & ISP,1,0.05
3039233,GRANULES,GRANULES INDIA,1,0.05
151553,GRAPHITE,GRAPHITE INDIA,1,0.05
315393,GRASIM,GRASIM INDUSTRIES,1,0.1
5256705,GRAVITA,GRAVITA INDIA,1,0.1
194510337,GROWW,BILLIONBRAINS GARAGE VN L,1,0.01
1401601,GRSE,GARDEN REACH SHIP&ENG,1,0.1
4296449,GVT&D,GE VERNOVA T&D INDIA,1,0.5
589569,HAL,HINDUSTAN AERONAUTICS,1,0.1
2513665,HAVELLS,HAVELLS INDIA,1,0.1
3575297,HBLENGINE,HBL ENGINEERING,1,0.05
1850625,HCLTECH,HCL TECHNOLOGIES,1,0.1
193989633,HDBFS,HDB FINANCIAL SERVICES L,1,0.05
1086465,HDFCAMC,HDFC AMC,1,0.1
341249,HDFCBANK,HDFC BANK,1,0.05
119553,HDFCLIFE,HDFC LIFE INS CO,1,0.05
342017,HEG,HEG,1,0.05
345089,HEROMOTOCO,HERO MOTOCORP,1,0.1
7594497,HEXT,HEXAWARE TECHNOLOGIES,1,0.05
5619457,HFCL,HFCL,1,0.01
348929,HINDALCO,HINDALCO  INDUSTRIES ,1,0.1
4592385,HINDCOPPER,HINDUSTAN COPPER,1,0.05
359937,HINDPETRO,HINDUSTAN PETROLEUM CORP,1,0.05
356865,HINDUNILVR,HINDUSTAN UNILEVER,1,0.1
364545,HINDZINC,HINDUSTAN ZINC,1,0.05
526337,HOMEFIRST,HOME FIRST FIN CO IND,1,0.1
5072129,HONASA,HONASA CONSUMER - MAMAEARTH,1,0.05
874753,HONAUT,HONEYWELL AUTOMATION IND,1,5.0
3669505,HSCL,HIMADRI SPECIALITY CHEM L,1,0.05
5331201,HUDCO,HSG & URBAN DEV CORPN,1,0.01
6616065,HYUNDAI,HYUNDAI MOTOR INDIA,1,0.1
194664193,ICICIAMC,ICICI PRUDENTIAL AMC,1,0.1
1270529,ICICIBANK,ICICI BANK,1,0.1
5573121,ICICIGI,ICICI LOMBARD GIC,1,0.1
4774913,ICICIPRULI,ICICI PRU LIFE INS CO,1,0.05
377857,IDBI,IDBI BANK,1,0.01
3677697,IDEA,VODAFONE IDEA,1,0.01
2863105,IDFCFIRSTB,IDFC FIRST BANK,1,0.01
56321,IEX,INDIAN ENERGY EXC,1,0.01
381697,IFCI,IFCI,1,0.01
7264769,IGIL,INTL GEMOLOGICAL INST,1,0.05
2883073,IGL,INDRAPRASTHA GAS,1,0.01
3023105,IIFL,IIFL FINANCE,1,0.05
7200001,IKS,INVENTURUS KNOWLEDGE SO L,1,0.1
6065409,INDGN,INDEGENE,1,0.05
387073,INDHOTEL,THE INDIAN HOTELS CO.,1,0.05
387841,INDIACEM,THE INDIA CEMENTS,1,0.05
2745857,INDIAMART,INDIAMART INTERMESH,1,0.1
3663105,INDIANB,INDIAN BANK,1,0.05
2865921,INDIGO,INTERGLOBE AVIATION,1,0.1
1346049,INDUSINDBK,INDUSIND BANK,1,0.05
7458561,INDUSTOWER,INDUS TOWERS,1,0.05
408065,INFY,INFOSYS,1,0.1
2010113,INOXWIND,INOX WIND,1,0.01
1517057,INTELLECT,INTELLECT DESIGN ARENA,1,0.05
2393089,IOB,INDIAN OVERSEAS BANK,1,0.01
415745,IOC,INDIAN OIL CORP,1,0.01
418049,IPCALAB,IPCA LABORATORIES,1,0.1
3920129,IRB,IRB INFRA DEV,1,0.01
1276417,IRCON,IRCON INTERNATIONAL,1,0.01
3484417,IRCTC,INDIAN RAIL TOUR CORP,1,0.05
5186817,IREDA,INDIAN RENEWABLE ENERGY,1,0.01
519425,IRFC,INDIAN RAILWAY FIN CORP L,1,0.01
424961,ITC,ITC,1,0.05
7488257,ITCHOTELS,ITC HOTELS,1,0.01
428801,ITI,ITI,1,0.05
1442049,J&KBANK,J & K BANK,1,0.01
194366465,JAINREC,JAIN RESOURCE RECYCLING L,1,0.05
441857,JBCHEPHARM,J B CHEMICALS AND PHARMA,1,0.1
2983681,JBMA,JBM AUTO,1,0.05
774145,JINDALSAW,JINDAL SAW,1,0.01
1723649,JINDALSTEL,JINDAL STEEL,1,0.1
4644609,JIOFIN,JIO FIN SERVICES,1,0.01
3397121,JKCEMENT,JK CEMENT,1,0.5
3695361,JKTYRE,JK TYRE & INDUSTRIES,1,0.05
3491073,JMFINANCIL,JM FINANCIAL,1,0.01
3011329,JPPOWER,JAIPRAKASH POWER VEN.,1,0.01
2876417,JSL,JINDAL STAINLESS,1,0.05
194165761,JSWCEMENT,JSW CEMENT,1,0.01
