date,symbol,direction,signal_time,entry_price,quantity,position_rs,stop_loss,target,rr,strategies_fired,agreeing_count,composite_score,driver_strategy,reason,exit_time,exit_price,exit_reason,result,pnl_rs,pnl_pct,predicted_win_pct,conviction_tier
2025-01-01,APOLLOHOSP,LONG,09:15,7358.2325,67,493001.58,7327.11625,7482.6975,4.0,"ASC-TRI,CAMARILLA,DAILY-BIAS,DBL-BTM,EMA-CROSS,FIRST-CANDLE,ORB-15,ORB-30,PDH-PDL,PIN-BAR,REL-STR,SR-BREAK,STOCHASTIC,VPOC",14,39.5338,CAMARILLA,CAMARILLA: breakout above H4=7358.23,15:15,7369.7,TIME_EXIT,WIN,48.35,0.01,49.9,STANDARD
2025-01-01,SONACOMS,SHORT,09:20,598.5225,835,499766.29,602.345,590.8775,2.0,"BEAR-ENGULF,BOLLINGER,CAMARILLA,DAILY-BIAS,FAILED-BO,FIRST-CANDLE,MACD,ORB-15,ORB-30,PIN-BAR,STOCHASTIC,SUPERTREND",12,36.0,CAMARILLA,"CAMARILLA: reversal at H3=598.52, target L3=590.88",09:45,590.8775,TARGET_HIT,EXACT_WIN,5658.63,1.13,68.3,HIGH
2025-01-02,ITC,LONG,09:15,398.6275,1254,499878.89,397.555,400.7725,2.0,"ADX-FILTER,ASC-TRI,CAMARILLA,DAILY-BIAS,DBL-BTM,MACD,ORB-15,ORB-30,PDH-PDL,PIN-BAR,SR-BREAK,SUPERTREND,VPOC",13,36.6327,CAMARILLA,"CAMARILLA: reversal at L3=398.63, target H3=400.77",12:00,400.7725,TARGET_HIT,EXACT_WIN,1958.96,0.39,49.5,STANDARD
2025-01-02,BANDHANBNK,SHORT,09:15,160.48125,3115,499899.09,160.9625,159.51875,2.0,"BEAR-ENGULF,CAMARILLA,CPR,DAILY-BIAS,FAILED-BO,FIRST-CANDLE,ORB-15,ORB-30,PDH-PDL,PIN-BAR,REL-STR,RSI-EXT,SR-BREAK,SUPERTREND,VPOC,VWAP-STDDEV",15,45.125,CAMARILLA,"CAMARILLA: reversal at H3=160.48, target L3=159.52",09:20,159.51875,TARGET_HIT,EXACT_WIN,2271.13,0.45,67.7,HIGH
2025-01-03,NESTLEIND,LONG,09:15,1102.0795918367348,453,499242.06,1100.0316326530613,1118.4632653061228,8.0,"CAMARILLA,CPR,FIRST-CANDLE,INTRADAY-STRUCT,MACD,ORB-15,ORB-30,PDH-PDL,PIN-BAR,REL-STR,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC",14,39.6327,VPOC,VPOC: breakout above VAH=1102.08,15:10,1118.4632653061228,TARGET_HIT,EXACT_WIN,6688.05,1.34,49.7,STANDARD
2025-01-03,CUMMINSIND,SHORT,09:30,3287.34375,152,499676.25,3309.6875,3242.65625,2.0,"BOLLINGER,CAMARILLA,DAILY-BIAS,FIRST-CANDLE,MACD,ORB-15,ORB-30,PIN-BAR,RSI-EXT,SR-BREAK,SUPERTREND,VPOC",12,36.0,CAMARILLA,"CAMARILLA: reversal at H3=3287.34, target L3=3242.66",10:35,3242.65625,TARGET_HIT,EXACT_WIN,6067.91,1.21,68.7,HIGH
2025-01-06,HYUNDAI,LONG,09:15,1831.6632653061224,272,498212.41,1829.1545918367347,1841.6979591836734,4.0,"ADX-FILTER,CAMARILLA,CPR,DAILY-BIAS,DBL-BTM,MACD,PDH-PDL,PIN-BAR,REL-STR,SR-BREAK,VPOC,VWAP-STDDEV",11,33.25,VPOC,VPOC: breakout above VAH=1831.66,09:20,1829.1545918367347,STOP_HIT,LOSS,-1408.29,-0.28,48.9,STANDARD
2025-01-06,CUMMINSIND,SHORT,09:25,3222.5,155,499487.5,3239.95,3187.6000000000004,2.0,"ADX-FILTER,BOLLINGER,DAILY-BIAS,FIRST-CANDLE,MACD,ORB-15,ORB-30,PDH-PDL,PIN-BAR,REL-STR,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC",14,42.0,FIRST-CANDLE,FIRST-CANDLE: break below first candle low=3222.50,09:50,3187.6000000000004,TARGET_HIT,EXACT_WIN,4684.38,0.94,68.8,HIGH
2025-01-07,AMBER,LONG,09:25,7747.3,64,495827.2,7668.65,8061.900000000001,4.0,"BULL-FLAG,CAMARILLA,DAILY-BIAS,EMA-CROSS,FIRST-CANDLE,MACD,ORB-15,ORB-30,PDH-PDL,PIN-BAR,REL-STR,SR-BREAK,SUPERTREND,VPOC",14,37.1665,CAMARILLA,CAMARILLA: breakout above H4=7747.30,12:15,8061.900000000001,TARGET_HIT,EXACT_WIN,19395.24,3.91,49.9,STANDARD
2025-01-07,CGPOWER,SHORT,09:25,723.02625,691,499611.14,731.1525,706.77375,2.0,"ADX-FILTER,BOLLINGER,CAMARILLA,DAILY-BIAS,FIRST-CANDLE,MACD,ORB-15,ORB-30,PDH-PDL,PIN-BAR,SR-BREAK,SUPERTREND,VPOC,VWAP-STDDEV",13,39.125,CAMARILLA,"CAMARILLA: reversal at H3=723.03, target L3=706.77",15:15,717.35,TIME_EXIT,WIN,3196.15,0.64,69.3,HIGH
