date,symbol,direction,signal_time,entry_price,quantity,position_rs,stop_loss,target,rr,strategies_fired,agreeing_count,composite_score,driver_strategy,reason,exit_time,exit_price,exit_reason,result,pnl_rs,pnl_pct,predicted_win_pct,conviction_tier
2022-01-03,LTM,LONG,09:15,7362.0,67,493254.0,7360.879591836734,7460.595918367347,88.0,"ADX-FILTER,CAMARILLA,CPR,DAILY-BIAS,FIRST-CANDLE,INTRADAY-STRUCT,ORB-15,ORB-30,PDH-PDL,REL-STR,SR-BREAK,VPOC",9,36.0,VPOC,VPOC: breakout above VAH=7362.00,12:55,7460.595918367347,TARGET_HIT,EXACT_WIN,5880.98,1.19,42.8,STANDARD
2022-01-03,LAURUSLABS,SHORT,09:20,541.855,922,499590.31,544.11,537.345,2.0,"BEAR-ENGULF,BOLLINGER,CAMARILLA,FAILED-BO,FIRST-CANDLE,MACD,ORB-15,ORB-30,PDH-PDL,PIN-BAR,REL-STR,SR-BREAK,SUPERTREND,VPOC",14,42.0,CAMARILLA,"CAMARILLA: reversal at H3=541.86, target L3=537.35",09:55,537.345,TARGET_HIT,EXACT_WIN,3432.25,0.69,65.6,HIGH
2022-01-04,BEL,LONG,09:20,70.89500000000001,7052,499951.54,70.64750000000001,71.88500000000002,4.0,"ADX-FILTER,ASC-TRI,CAMARILLA,CPR,DAILY-BIAS,FIRST-CANDLE,INTRADAY-STRUCT,ORB-15,ORB-30,PDH-PDL,PIN-BAR,REL-STR,SR-BREAK,STOCHASTIC",9,42.0,CAMARILLA,CAMARILLA: breakout above H4=70.90,09:50,71.88500000000002,TARGET_HIT,EXACT_WIN,6247.11,1.25,41.6,STANDARD
2022-01-04,AUROPHARMA,SHORT,09:55,724.95,689,499490.55,747.7019551724134,623.0,4.48,"ADX-FILTER,CAMARILLA,FIRST-CANDLE,INTRADAY-STRUCT,MACD,PDH-PDL,PIN-BAR,REL-STR,RISE-WEDGE,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC",13,37.0,RISE-WEDGE,Rising Wedge: broke below lower trendline 725.12,15:15,722.55,TIME_EXIT,WIN,926.33,0.19,66.1,STANDARD
2022-01-05,JSWSTEEL,LONG,09:15,671.7173469387756,744,499757.71,670.544387755102,678.7551020408165,6.0,"ASC-TRI,CAMARILLA,CPR,DAILY-BIAS,FIRST-CANDLE,INTRADAY-STRUCT,ORB-15,ORB-30,PDH-PDL,REL-STR,SR-BREAK,VPOC",9,36.0,VPOC,VPOC: breakout above VAH=671.72,09:45,678.7551020408165,TARGET_HIT,EXACT_WIN,4503.36,0.9,42.9,STANDARD
2022-01-05,SAMMAANCAP,SHORT,09:30,194.15,2575,499936.25,195.1,192.25000000000003,2.0,"ADX-FILTER,BOLLINGER,DAILY-BIAS,FIRST-CANDLE,MACD,ORB-15,ORB-30,PDH-PDL,PIN-BAR,SR-BREAK,STOCHASTIC,VPOC",12,36.0,FIRST-CANDLE,FIRST-CANDLE: break below first candle low=194.15,10:35,192.25000000000003,TARGET_HIT,EXACT_WIN,4166.47,0.83,66.7,MEDIUM
2022-01-06,DEEPAKNTR,LONG,09:25,2513.0,198,497574.0,2484.55,2569.8999999999996,2.0,"ADX-FILTER,BOLLINGER,CAMARILLA,DAILY-BIAS,EMA-CROSS,FIRST-CANDLE,INTRADAY-STRUCT,MACD,ORB-15,PDH-PDL,PIN-BAR,REL-STR,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC",9,39.7227,FIRST-CANDLE,FIRST-CANDLE: break above first candle high=2513.00,15:15,2532.0,TIME_EXIT,WIN,3033.42,0.61,41.2,STANDARD
2022-01-06,GLENMARK,SHORT,09:15,520.7,960,499872.0,525.06225,510.7,2.29,"BEAR-ENGULF,BOLLINGER,FAILED-BO,FIRST-CANDLE,MACD,PIN-BAR,REL-STR,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC",11,33.0,FAILED-BO,"Failed BO: bull trap above 521.25, reversed on vol 4.4×",15:15,514.8,TIME_EXIT,WIN,4938.5,0.99,63.6,MEDIUM
2022-01-07,PAGEIND,LONG,09:55,42882.722499999996,11,471709.95,42503.23625,44400.66749999999,4.0,"ADX-FILTER,CAMARILLA,DAILY-BIAS,FIRST-CANDLE,ORB-15,ORB-30,PDH-PDL,PIN-BAR,REL-STR,SR-BREAK,STOCHASTIC,VOL-SPIKE,VPOC",11,39.0,CAMARILLA,CAMARILLA: breakout above H4=42882.72,15:15,43980.0,TIME_EXIT,WIN,11370.16,2.41,43.0,STANDARD
2022-01-07,APLAPOLLO,SHORT,09:40,939.0,532,499548.0,952.25,912.5,2.0,"ADX-FILTER,BEAR-ENGULF,CPR,DAILY-BIAS,FAILED-BO,FIRST-CANDLE,MACD,ORB-15,ORB-30,PDH-PDL,PIN-BAR,REL-STR,SR-BREAK,SUPERTREND,VPOC",15,42.6327,FIRST-CANDLE,FIRST-CANDLE: break below first candle low=939.00,15:15,927.85,TIME_EXIT,WIN,5206.9,1.04,65.4,MEDIUM
2022-01-10,ICICIGI,LONG,09:40,1455.1650000000002,343,499121.6,1448.2075,1482.9950000000006,4.0,"CAMARILLA,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,GAP-CONT,MACD,ORB-15,ORB-30,PDH-PDL,PIN-BAR,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC",10,38.0236,CAMARILLA,CAMARILLA: breakout above H4=1455.17,14:00,1448.2075,STOP_HIT,LOSS,-3112.25,-0.62,41.5,STANDARD
2022-01-10,COLPAL,SHORT,09:15,1475.65125,338,498770.12,1481.3025,1464.34875,2.0,"ADX-FILTER,CAMARILLA,FAILED-BO,FIRST-CANDLE,MACD,ORB-15,ORB-30,PIN-BAR,REL-STR,SR-BREAK,SUPERTREND,VPOC",12,36.0,CAMARILLA,"CAMARILLA: reversal at H3=1475.65, target L3=1464.35",10:55,1464.34875,TARGET_HIT,EXACT_WIN,3095.2,0.62,66.0,HIGH
2022-01-11,TATACHEM,LONG,09:50,949.0649999999999,526,499208.19,944.0325,969.1949999999998,4.0,"CAMARILLA,DAILY-BIAS,FIRST-CANDLE,MACD,ORB-15,ORB-30,PDH-PDL,PIN-BAR,REL-STR,SR-BREAK,STOCHASTIC,VOL-SPIKE,VPOC",11,37.8986,CAMARILLA,CAMARILLA: breakout above H4=949.06,10:10,969.1949999999998,TARGET_HIT,EXACT_WIN,9852.17,1.97,43.0,STANDARD
2022-01-11,APLAPOLLO,SHORT,09:20,922.7825,541,499225.33,931.665,905.0174999999999,2.0,"BOLLINGER,CAMARILLA,DAILY-BIAS,FIRST-CANDLE,INTRADAY-STRUCT,MACD,ORB-15,ORB-30,PIN-BAR,SR-BREAK,STOCHASTIC,SUPERTREND",12,36.0,CAMARILLA,"CAMARILLA: reversal at H3=922.78, target L3=905.02",13:20,905.0174999999999,TARGET_HIT,EXACT_WIN,8888.51,1.78,66.9,HIGH
2022-01-12,ABFRL,LONG,09:20,224.6175,2226,499998.55,223.55875,228.85250000000002,4.0,"CAMARILLA,CPR,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,ORB-15,ORB-30,PDH-PDL,PIN-BAR,REL-STR,SR-BREAK,STOCHASTIC,VPOC",11,39.0,CAMARILLA,CAMARILLA: breakout above H4=224.62,10:05,228.85250000000002,TARGET_HIT,EXACT_WIN,8690.74,1.74,42.5,STANDARD
2022-01-12,MUTHOOTFIN,SHORT,09:15,1532.5762499999998,326,499619.86,1539.0524999999998,1519.62375,2.0,"ADX-FILTER,BOLLINGER,CAMARILLA,FIRST-CANDLE,INTRADAY-STRUCT,MACD,ORB-15,ORB-30,PDH-PDL,PIN-BAR,SR-BREAK,STOCHASTIC,SUPERTREND",13,39.0,CAMARILLA,"CAMARILLA: reversal at H3=1532.58, target L3=1519.62",10:05,1519.62375,TARGET_HIT,EXACT_WIN,3496.54,0.7,67.4,HIGH
2022-01-13,HINDALCO,LONG,09:20,501.65749999999997,996,499650.87,499.27875,511.17249999999996,4.0,"ADX-FILTER,CAMARILLA,CPR,DAILY-BIAS,FIRST-CANDLE,GAP-CONT,INTRADAY-STRUCT,ORB-15,PDH-PDL,REL-STR,STOCHASTIC,VPOC",7,36.0,CAMARILLA,CAMARILLA: breakout above H4=501.66,15:15,507.85,TIME_EXIT,WIN,5434.41,1.09,41.0,STANDARD
2022-01-13,PIIND,SHORT,09:15,2888.7825,173,499759.37,2907.565,2851.2175,2.0,"ADX-FILTER,CAMARILLA,DAILY-BIAS,FIRST-CANDLE,INTRADAY-STRUCT,ORB-15,ORB-30,PDH-PDL,PIN-BAR,REL-STR,SR-BREAK,SUPERTREND,VPOC",13,39.0,CAMARILLA,"CAMARILLA: reversal at H3=2888.78, target L3=2851.22",10:00,2851.2175,TARGET_HIT,EXACT_WIN,5773.88,1.16,67.0,HIGH
2022-01-14,BATAINDIA,LONG,09:20,1985.4795918367347,251,498355.38,1976.6770408163266,2005.6928571428573,2.3,"CAMARILLA,CPR,DAILY-BIAS,EMA-CROSS,FIRST-CANDLE,ORB-15,ORB-30,PDH-PDL,PIN-BAR,REL-STR,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC",10,37.0741,VPOC,VPOC: breakout above VAH=1985.48,09:40,2005.6928571428573,TARGET_HIT,EXACT_WIN,4342.85,0.87,42.3,STANDARD
2022-01-14,ZEEL,SHORT,13:25,315.23,1586,499954.78,319.45,306.7900000000001,2.0,"BEAR-ENGULF,DAILY-BIAS,FIRST-CANDLE,MACD,ORB-15,ORB-30,PDH-PDL,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC",11,33.0,FIRST-CANDLE,FIRST-CANDLE: break below first candle low=315.23,15:15,315.87,TIME_EXIT,LOSS,-1744.47,-0.35,66.8,MEDIUM
2022-01-17,SONACOMS,LONG,09:15,768.4675,650,499503.88,762.73375,791.4024999999999,4.0,"ADX-FILTER,CAMARILLA,CPR,DAILY-BIAS,FIRST-CANDLE,INTRADAY-STRUCT,ORB-15,ORB-30,PDH-PDL,REL-STR,SR-BREAK,STOCHASTIC,VPOC,VWAP-REV",9,39.125,CAMARILLA,CAMARILLA: breakout above H4=768.47,09:45,791.4024999999999,TARGET_HIT,EXACT_WIN,14167.71,2.84,41.7,STANDARD
2022-01-17,PIIND,SHORT,09:30,2792.3,179,499821.7,2811.1,2754.7000000000007,2.0,"ADX-FILTER,BEAR-ENGULF,DAILY-BIAS,FAILED-BO,FIRST-CANDLE,INTRADAY-STRUCT,PDH-PDL,REL-STR,SR-BREAK,STOCHASTIC,VWAP-STDDEV",10,30.25,FIRST-CANDLE,FIRST-CANDLE: break below first candle low=2792.30,12:20,2811.1,STOP_HIT,LOSS,-4095.79,-0.82,65.3,MEDIUM
2022-01-18,BPCL,LONG,09:20,176.50750000000002,2832,499869.24,175.77875,179.42250000000004,4.0,"CAMARILLA,DAILY-BIAS,DBL-BTM,EMA-CROSS,FIRST-CANDLE,ORB-15,ORB-30,PDH-PDL,PIN-BAR,REL-STR,SR-BREAK,STOCHASTIC,VPOC",11,36.9491,CAMARILLA,CAMARILLA: breakout above H4=176.51,14:25,175.77875,STOP_HIT,LOSS,-2790.92,-0.56,42.6,STANDARD
2022-01-18,ETERNAL,SHORT,09:15,134.4625,3718,499931.58,134.875,133.63750000000002,2.0,"ADX-FILTER,BEAR-ENGULF,BOLLINGER,CAMARILLA,FAILED-BO,FIRST-CANDLE,MACD,ORB-15,PDH-PDL,PIN-BAR,REL-STR,STOCHASTIC,SUPERTREND,VPOC",14,42.0,CAMARILLA,"CAMARILLA: reversal at H3=134.46, target L3=133.64",09:35,133.63750000000002,TARGET_HIT,EXACT_WIN,2340.29,0.47,65.4,HIGH
2022-01-19,BIOCON,LONG,09:20,356.12,1404,499992.48,352.71,369.76,4.0,"CAMARILLA,EMA-CROSS,FALL-WEDGE,FIRST-CANDLE,GAP-CONT,ORB-15,ORB-30,PDH-PDL,PIN-BAR,REL-STR,SR-BREAK,STOCHASTIC,VPOC",10,36.9491,CAMARILLA,CAMARILLA: breakout above H4=356.12,15:15,368.1,TIME_EXIT,WIN,16077.7,3.22,42.7,STANDARD
