#,date,symbol,entry,qty,orig,ACTUAL,0.9%T,0.7%T,0.5%T,path
1,06-15,GROWW,200.1,2498,TGT,12333,3766,2767,1769,T/T/T
2,06-15,STARHEALTH,524.4,953,TIME,2847,3766,2767,1768,T/T/T
3,06-16,DIXON,12206.0,26,TIME,-480,-3651,-3651,-3651,S/S/S
4,06-17,CARTRADE,2606.0,191,TGT,21317,3750,2756,1761,T/T/T
5,06-18,MFSL,1657.0,301,TGT,4936,3758,2761,1765,T/T/T
6,06-19,CRAFTSMAN,9790.0,51,TGT,-371,3762,2764,1767,T/T/T
7,06-23,KIRLOSENG,2557.6,195,STOP,-10898,3758,2761,1765,T/T/T
8,06-29,CIPLA,1455.3,343,STOP,-2332,3761,2764,1766,T/T/T
9,06-29,AEGISLOG,1169.4,427,TIME,-664,3762,2765,1767,T/T/T
10,06-30,KIMS,823.8,606,STOP,-4282,3762,2764,1766,T/T/T
11,07-01,BIOCON,424.85,1176,STOP,-3925,-5721,2766,1768,S/T/T
12,07-02,INDIGO,5441.5,91,STOP,-2760,-2723,-2723,-2723,Q/Q/Q
13,07-03,MRF,134230.0,3,TIME,-1226,3025,2220,1416,T/T/T
14,07-06,GODREJPROP,2007.1,249,TGT,8029,3766,2767,1768,T/T/T
15,07-07,ALKEM,5725.5,87,STOP,-3105,-5704,-5704,-5704,S/S/S
16,07-08,CARTRADE,2865.7,174,STOP,-4667,-5709,2761,1764,S/T/T
17,07-09,LENSKART,545.75,916,TGT,13412,3767,2768,1769,T/T/T
18,07-10,WELSPUNLIV,168.26,2971,STOP,-4707,-5724,-5724,-5724,S/S/S
19,07-13,APOLLOHOSP,8869.0,56,STOP,-2456,-5687,-5687,-5687,S/S/S
20,07-14,LICI,441.6,1132,STOP,-2256,-5724,-5724,-5724,S/S/S
21,07-15,MRPL,159.18,3141,PLOCK,2898,3768,2768,1769,T/T/T
22,07-16,PREMIERENE,1104.0,452,STOP,-4341,-2624,-2624,1766,Q/Q/T
23,07-17,ICICIBANK,1428.0,350,PLOCK,2062,3766,2767,1768,T/T/T
24,07-20,ARE&M,911.35,467,PLOCK,2121,3200,2349,1499,T/T/T
25,07-21,INDUSINDBK,1044.01,471,TGT,8124,3704,2722,1739,T/T/T
26,07-22,FEDERALBNK,355.25,1407,STOP,-3091,-5723,-5723,1769,S/S/T
27,07-23,OIL,454.45,1100,PLOCK,3008,3767,2768,1769,T/T/T
28,07-24,TCS,2251.2,206,STOP,-4405,-5313,-5313,-5313,S/S/S
